id,state,place,name,abbr
,01,00124,Abbeville city,AL
,01,00460,Adamsville city,AL
,01,00484,Addison town,AL
,01,00676,Akron town,AL
,01,00820,Alabaster city,AL
,01,00988,Albertville city,AL
,01,01132,Alexander City city,AL
,01,01228,Aliceville city,AL
,01,01396,Allgood town,AL
,01,01660,Altoona town,AL
,01,01708,Andalusia city,AL
,01,01756,Anderson town,AL
,01,01852,Anniston city,AL
,01,02116,Arab city,AL
,01,02260,Ardmore town,AL
,01,02320,Argo town,AL
,01,02428,Ariton town,AL
,01,02500,Arley town,AL
,01,02836,Ashford town,AL
,01,02860,Ashland town,AL
,01,02908,Ashville city,AL
,01,02956,Athens city,AL
,01,03004,Atmore city,AL
,01,03028,Attalla city,AL
,01,03076,Auburn city,AL
,01,03220,Autaugaville town,AL
,01,03364,Avon town,AL
,01,03556,Babbie town,AL
,01,03676,Baileyton town,AL
,01,03724,Bakerhill town,AL
,01,03940,Banks town,AL
,01,04660,Bay Minette city,AL
,01,04684,Bayou La Batre city,AL
,01,04852,Bear Creek town,AL
,01,04900,Beatrice town,AL
,01,04948,Beaverton town,AL
,01,05164,Belk town,AL
,01,05692,Benton town,AL
,01,05812,Berlin town,AL
,01,05932,Berry town,AL
,01,05980,Bessemer city,AL
,01,06460,Billingsley town,AL
,01,07000,Birmingham city,AL
,01,07120,Black town,AL
,01,07456,Blountsville town,AL
,01,07672,Blue Springs town,AL
,01,07912,Boaz city,AL
,01,08104,Boligee town,AL
,01,08248,Bon Air town,AL
,01,09016,Brantley town,AL
,01,09136,Brent city,AL
,01,09208,Brewton city,AL
,01,09328,Bridgeport city,AL
,01,09400,Brighton city,AL
,01,09424,Brilliant town,AL
,01,09736,Brookside town,AL
,01,09808,Brookwood town,AL
,01,10240,Brundidge city,AL
,01,11032,Butler town,AL
,01,11416,Calera city,AL
,01,11512,Camden city,AL
,01,11680,Camp Hill town,AL
,01,12016,Carbon Hill city,AL
,01,12040,Cardiff town,AL
,01,12160,Carolina town,AL
,01,12304,Carrollton town,AL
,01,12496,Castleberry town,AL
,01,12760,Cedar Bluff town,AL
,01,13264,Center Point city,AL
,01,13648,Centre city,AL
,01,13672,Centreville city,AL
,01,14008,Chatom town,AL
,01,14104,Chelsea city,AL
,01,14152,Cherokee town,AL
,01,14392,Chickasaw city,AL
,01,14464,Childersburg city,AL
,01,15064,Citronelle city,AL
,01,15136,Clanton city,AL
,01,15256,Clay city,AL
,01,15304,Clayhatchee town,AL
,01,15376,Clayton town,AL
,01,15472,Cleveland town,AL
,01,15640,Clio city,AL
,01,16000,Coaling town,AL
,01,16240,Coffee Springs town,AL
,01,16264,Coffeeville town,AL
,01,16312,Coker town,AL
,01,16600,Collinsville town,AL
,01,16684,Colony town,AL
,01,16744,Columbia town,AL
,01,16768,Columbiana city,AL
,01,17176,Coosada town,AL
,01,17368,Cordova city,AL
,01,17824,Cottonwood town,AL
,01,17968,County Line town,AL
,01,18040,Courtland town,AL
,01,18088,Cowarts town,AL
,01,18304,Creola city,AL
,01,18856,Crossville town,AL
,01,18952,Cuba town,AL
,01,18976,Cullman city,AL
,01,19216,Cusseta town,AL
,01,19336,Dadeville city,AL
,01,19360,Daleville city,AL
,01,19648,Daphne city,AL
,01,19744,Dauphin Island town,AL
,01,19816,Daviston town,AL
,01,19912,Dayton town,AL
,01,20008,Deatsville town,AL
,01,20104,Decatur city,AL
,01,20296,Demopolis city,AL
,01,20392,Detroit town,AL
,01,20955,Dodge City town,AL
,01,21136,Dora city,AL
,01,21184,Dothan city,AL
,01,21280,Double Springs town,AL
,01,21328,Douglas town,AL
,01,21448,Dozier town,AL
,01,21952,Dutton town,AL
,01,22216,East Brewton city,AL
,01,22816,Eclectic town,AL
,01,23176,Edwardsville town,AL
,01,23296,Elba city,AL
,01,23320,Elberta town,AL
,01,23344,Eldridge town,AL
,01,23488,Elkmont town,AL
,01,23656,Elmore town,AL
,01,23872,Emelle town,AL
,01,24184,Enterprise city,AL
,01,24256,Epes town,AL
,01,24472,Ethelsville town,AL
,01,24568,Eufaula city,AL
,01,24664,Eutaw town,AL
,01,24688,Eva town,AL
,01,24808,Evergreen city,AL
,01,24880,Excel town,AL
,01,25120,Fairfield city,AL
,01,25240,Fairhope city,AL
,01,25384,Fairview town,AL
,01,25648,Falkville town,AL
,01,25816,Faunsdale town,AL
,01,25840,Fayette city,AL
,01,26200,Five Points town,AL
,01,26824,Flomaton town,AL
,01,26848,Florala town,AL
,01,26896,Florence city,AL
,01,26992,Foley city,AL
,01,27376,Forkland town,AL
,01,27520,Fort Deposit town,AL
,01,27616,Fort Payne city,AL
,01,28024,Franklin town,AL
,01,28312,Frisco City town,AL
,01,28432,Fruithurst town,AL
,01,28504,Fulton town,AL
,01,28552,Fultondale city,AL
,01,28672,Fyffe town,AL
,01,28696,Gadsden city,AL
,01,28768,Gainesville town,AL
,01,28936,Gantt town,AL
,01,29032,Garden City town,AL
,01,29056,Gardendale city,AL
,01,29296,Gaylesville town,AL
,01,29392,Geiger town,AL
,01,29464,Geneva city,AL
,01,29560,Georgiana town,AL
,01,29608,Geraldine town,AL
,01,29704,Gilbertown town,AL
,01,29944,Glen Allen town,AL
,01,29992,Glencoe city,AL
,01,30160,Glenwood town,AL
,01,30448,Goldville town,AL
,01,30496,Good Hope city,AL
,01,30640,Goodwater town,AL
,01,30736,Gordo town,AL
,01,30760,Gordon town,AL
,01,30808,Gordonville town,AL
,01,30880,Goshen town,AL
,01,31096,Grant town,AL
,01,31384,Graysville city,AL
,01,31720,Greensboro city,AL
,01,31912,Greenville city,AL
,01,32056,Grimes town,AL
,01,32080,Grove Hill town,AL
,01,32224,Guin city,AL
,01,32272,Gulf Shores city,AL
,01,32416,Guntersville city,AL
,01,32440,Gurley town,AL
,01,32536,Gu-Win town,AL
,01,32560,Hackleburg town,AL
,01,32656,Haleburg town,AL
,01,32704,Haleyville city,AL
,01,32848,Hamilton city,AL
,01,32896,Hammondville town,AL
,01,32968,Hanceville city,AL
,01,33256,Harpersville town,AL
,01,33424,Hartford city,AL
,01,33448,Hartselle city,AL
,01,33640,Hayden town,AL
,01,33712,Hayneville town,AL
,01,33856,Headland city,AL
,01,33904,Heath town,AL
,01,33976,Heflin city,AL
,01,34024,Helena city,AL
,01,34096,Henagar city,AL
,01,34480,Highland Lake town,AL
